year,make,model,vin
2005,Acura,TL,19uua66265a049085
2012,Nissan,Maxima,1n4aa5ap7cc810082
2009,Jeep,Compass,1j4ff47b09d105564
2012,Honda,Pilot,5fnyf4h66cb072960
2007,Chrysler,Aspen,1a8hw58207f520932
2007,Mitsubishi,Galant,4a3ab36f87e053003
2007,Kia,Sportage,kndjf723777368759
2013,Chrysler,200,1c3ccbbbxdn600178
2010,Ford,F-150,1ftfw1evxafa59302
2014,Ford,F-150,1ftfw1cf3efb32673
2011,Chevrolet,Silverado 1500,1gcrkse30bz107693
2013,Ford,Focus,1fadp3f23dl295628
2009,Hyundai,Genesis,kmhgc46f39u033990
2012,Ford,F-150,1ftew1cm8cfa61249
2013,Buick,Enclave,5gakvckd3dj214610
2013,Chevrolet,Impala,2g1wf5e37d1210820
2010,Nissan,Versa,3n1bc1cp2al399547
2009,Toyota,Corolla,1nxbu40e89z077684
2013,Ford,Escape,1fmcu0hx7dud64476
2015,Chevrolet,Silverado 2500HD,1gc1kue8xff123685
2014,Hyundai,Azera,kmhfg4jg5ea352092
2012,Toyota,Corolla,5yfbu4ee5cp036057
2014,Nissan,Altima,1n4al3ap3en344558
2012,Toyota,Camry,4t1bf1fk4cu053024
2013,Buick,Enclave,5gakrdkd3dj203181
2006,Dodge,Caravan,1d4gp25r46b712606
2003,Ford,Expedition,1fmfu18l63lb47103
2011,Toyota,4Runner,jtebu5jrxb5033516
2013,Nissan,Xterra,5n1an0nw2dn813539
2013,Ford,Escape,1fmcu0f77dua87864
2008,Pontiac,G6,1g2zh57n884299406
2008,Mercedes-Benz,C-Class,wddgf56x28f133534
2012,Dodge,Avenger,1c3cdzcb4cn156928
2014,Hyundai,Sonata,5npeb4ac9eh841762
2006,Scion,xB,jtlkt324964085234
2011,Infiniti,G Sedan,jn1cv6ar6bm404787
2008,Honda,CR-V,3czre38368g701586
2004,Dodge,Ram Pickup 1500,1d7hu18d74j132862
2012,Ford,Escape,1fmcu0eg2ckb77483
2008,Nissan,350Z,jn1bz34ex8m750552
2005,Dodge,Durango,1d4hb38n75f533887
2009,Chevrolet,Traverse,1gner13d79s143505
2012,Ford,Focus,1fahp3e24cl300806
2013,Honda,Accord,1hgcr2f87da077252
2013,Nissan,Pathfinder,5n1ar2mnxdc668576
2006,Pontiac,Torrent,2ckdl63f266066621
2013,Kia,Soul,kndjt2a54d7567696
2012,Chevrolet,Express Cargo,1gcsgafx3c1198246
2007,Bentley,Continental GT,scbcr73wx7c040237
2001,Ford,F-150,1ftrw07l91kc47321
2012,BMW,5 Series,wbaxg5c57cdx02020
2013,Volkswagen,Passat,1vwbn7a38dc056300
2015,Kia,Forte,knafk4a66f5268669
2014,Hyundai,Tucson,km8jucag1eu876318
2001,Ford,Mustang,1fafp40441f227874
2011,Dodge,Avenger,1b3bd1fg9bn516940
2013,Ford,Escape,1fmcu0hx5dud33856
2004,Chevrolet,Cavalier,1g1jc52f647360082
2015,Kia,Soul,kndjp3a54f7768768
2014,Chevrolet,Equinox,2gnflfek2e6292335
2013,Toyota,Corolla,5yfbu4ee4dp130819
2014,Toyota,Camry,4t1bf1fk0eu804042
2008,BMW,5 Series,wbanv13568cz56871
2012,Honda,Insight,jhmze2h33cs006238
2013,Mercedes-Benz,C-Class,wddgf8ab7dr272774
2012,GMC,Acadia,1gkkrred7cj380102
2014,Ford,Focus,1fadp3k25el337885
2013,Mazda,Mazda3,jm1bl1tf9d1734156
2003,Toyota,4Runner,jtezu14r130004908
2013,Ford,Taurus,1fahp2d87dg141547
2012,Ford,Escape,1fmcu9dg3ckb47768
2014,Ford,F-150,1ftfw1ef9ekd95660
2012,Jeep,Compass,1c4njcbb9cd610303
2014,Ford,F-150,1ftnf1cf2ekd18627
2010,Honda,Accord,1hgcs1b72aa015443
2005,BMW,X3,wbxpa93465wd13577
2004,Mazda,Tribute,4f2cz96154km32908
2015,Kia,Sorento,5xyktca69fg585278
2013,Dodge,Avenger,1c3cdzcb2dn707147
2001,Honda,Odyssey,2hkrl18581h620507
2012,Hyundai,Sonata,5npeb4acxch381749
2014,Kia,Soul,kndjp3a54e7019502
2014,Toyota,Camry,4t1bf1fk6eu417561
2012,Volkswagen,Touareg,wvgeg9bp5cd007213
2013,Kia,Sorento,5xykt3a16dg348443
2004,Buick,Rendezvous,3g5da03e44s515224
2013,Chevrolet,Silverado 1500,1gcrkse78dz208244
2013,Ford,Focus,1fadp3e21dl353740
2014,Nissan,Rogue,5n1at2mv0ec756975
2014,Ford,Explorer,1fm5k7d86ega27772
2003,Buick,Century,2g4ws52j131275095
2014,Ford,F-150,1ftnf1cf8ekd20558
2012,Lexus,ES 350,jthbk1eg1c2512047
2013,Ford,Fusion,3fa6p0hr4dr168891
2012,BMW,5 Series,wbafr7c51cc813198
2012,Hyundai,Sonata,5npeb4ac5ch450363
2005,Mercedes-Benz,E-Class,wdbuf83j35x182860
2008,Chrysler,Town and Country,2a8hr54p38r838417
2011,Hyundai,Sonata,5npec4ac9bh160154
2014,Toyota,Corolla,5yfburhe5ep045790
2006,Mazda,Mazda6,1yvhp80d465m21578
2011,Ford,Escape,1fmcu9eg6bka09767
2014,Toyota,Camry,4t1bf1fk0eu400559
2013,Cadillac,ATS,1g6ab5ra5d0147012
2012,BMW,3 Series,wba3a5c53cf342619
2004,Chevrolet,Malibu,1g1zs52f44f210807
2013,Nissan,Altima,1n4al3ap1dn477219
2013,Scion,FR-S,jf1znaa18d2719812
2012,Hyundai,Sonata,5npec4ac0ch467066
2006,Mercury,Mountaineer,4m2eu37e06zj01597
2012,Ford,Edge,2fmdk4jc2cba55303
2013,Dodge,Grand Caravan,2c4rdgcg6dr523113
2014,Ford,F-150,1ftex1cm7efa24967
2013,Nissan,Altima,1n4al3ap8dn519417
2011,Chevrolet,Malibu,1g1za5eu3bf182587
2005,Cadillac,DeVille,1g6ke57y85u165171
2014,GMC,Yukon XL,1gks2ke77er241999
2008,Mercedes-Benz,C-Class,wddgf56x88f067927
2013,Infiniti,JX,5n1al0mm0dc303157
2012,Nissan,Maxima,1n4aa5ap9cc812075
2014,Ford,Mustang,1zvbp8am9e5297376
2012,Chevrolet,Malibu,1g1zb5e07cf178781
2011,Mercedes-Benz,C-Class,wddgf5eb8br179655
2013,BMW,7 Series,wbayf8c55dd141505
2013,Ford,Escape,1fmcu9g96dud36871
2012,BMW,X5,5uxzv4c59cl766138
2009,Volkswagen,Jetta,3vwjm71k99m011426
2012,Mercedes-Benz,M-Class,4jgda5hbxca030859
2007,Pontiac,G6,1g2zf58b974105507
2004,Mercedes-Benz,E-Class,wdbuf83j04x161656
2013,Ford,F-150,1ftfx1ef9dkd21716
2014,BMW,3 Series,wba3b3g5xenr84517
2004,Chevrolet,Avalanche,3gnek12t04g245550
1998,Lincoln,Continental,1lnfm97v6wy663843
2013,Kia,Optima,5xxgn4a74dg225299
2010,Kia,Soul,kndjt2a26a7038879
2013,Ford,Edge,2fmdk4gcxdbb66335
2010,Toyota,Yaris,jtdbt4k36a1396624
2006,Dodge,Charger,2b3ka53hx6h443749
2013,Ford,Taurus,1fahp2e86dg156555
2014,Ford,Fusion,3fa6p0h73er272613
2014,Mitsubishi,Lancer,ja32u2fu1eu017519
2004,Cadillac,Escalade EXT,3gyek62n14g191676
2012,Nissan,Altima,1n4al2ap1cn424013
2013,Ford,Escape,1fmcu9j96duc21891
2002,Mercedes-Benz,CLK-Class,wdblj70g82f197630
2002,Ford,F-150,1ftrw08l72kc68328
2008,GMC,Envoy,1gkds13s682244464
2008,Chevrolet,HHR,3gnda23dx8s556322
2014,Ford,Focus,1fadp3k27el157372
2012,Ford,F-150,1ftfw1et8cfa30284
2003,Mazda,Mazda6,1yvfp80c035m20812
2007,Volkswagen,New Beetle,3vwsf31yx7m405879
2002,Lexus,IS 300,jthed192320046086
2007,Ford,F-250 Super Duty,1ftsf20p37eb31470
2011,Infiniti,G Sedan,jn1cv6ar5bm356733
2014,Mitsubishi,Outlander,ja4az3a3xez014246
2013,Hyundai,Sonata,5npeb4ac2dh538532
2011,BMW,5 Series,wbafr9c58bc270426
2012,Ford,Edge,2fmdk4jc1cba21594
2005,Nissan,Armada,5n1aa08a45n722611
2012,BMW,3 Series,wbake3c5xce770262
2008,Pontiac,Grand Prix,2g2wp552881186968
2012,Infiniti,EX,jn1aj0hr0cm453460
2003,Mercedes-Benz,M-Class,4jgab54e93a393556
2006,Ford,F-150,1ftpw14566fb70622
2014,Ford,Escape,1fmcu0j90eua87036
2006,MINI,Cooper,wmwrh335x6tk57633
2009,Ford,Fusion,3fahp07z59r119474
2011,Nissan,Altima,1n4al2ap0bc162382
2005,BMW,5 Series,wbana73585b814313
2013,Nissan,Sentra,3n1ab7ap0dl774537
2013,MINI,Cooper,wmwsu3c56dt547880
2014,Ford,Escape,1fmcu9j91euc77755
2014,Lincoln,MKS,1lnhl9ft2eg605020
2012,Kia,Forte,knafu6a24c5545558
2006,Nissan,Titan,1n6ba07a66n514724
2013,Ford,Explorer,1fm5k8d84dga95864
2005,Acura,MDX,2hnyd18865h537802
2011,Ford,F-150,1ftfw1e69bfa49807
2013,Ford,Fusion,3fa6p0h71dr200016
2014,Toyota,Corolla,5yfburhe5ep074223
2000,Honda,Accord,1hgcg1642ya096228
2005,Chevrolet,Silverado 1500,1gcec14x55z217931
2009,Chevrolet,HHR,3gnca53vx9s587707
2012,Infiniti,G Sedan,jn1dv6ap5cm700131
2009,Jeep,Patriot,1j4ff28b39d232747
2005,Mitsubishi,Galant,4a3ab36f15e032085
2004,Saturn,VUE,5gzcz63474s872298
2011,Nissan,Frontier,1n6ad0ev0bc406713
2007,Honda,CR-V,jhlre38747c079356
2008,Nissan,Rogue,jn8as58t08w009434
2007,Toyota,FJ Cruiser,jtezu11f570006175
2007,Hyundai,Accent,kmhcn46cx7u109376
2002,Ford,F-150,1ftrw08lx2ke13393
2011,Chevrolet,Camaro,2g1fc1ed8b9171759
2012,Cadillac,Escalade ESV,1gys4hef8cr142082
2013,BMW,7 Series,wbaye8c51dde22237
2013,Mazda,Mazda3,jm1bl1u74d1792165
2008,Ford,F-150,1ftrw12w38kc19869
2013,Nissan,Altima,1n4al3ap2dc154731
2011,Volkswagen,Jetta,3vwll7aj7bm111484
2007,Subaru,Legacy,4s3bl616577207720
2013,Honda,Odyssey,5fnrl5h64db031179
2007,Mitsubishi,Endeavor,4a4mm21s77e052961
2013,Chevrolet,Malibu,1g11e5sa1df311294
2007,GMC,Sierra 1500 Classic,2gtek13z671150144
2012,Ford,Focus,1fahp3n26cl286990
2014,Ford,Focus,1fadp3k28el307599
2009,Ford,Ranger,1ftyr14d09pa17509
2012,Kia,Sedona,kndmg4c70c6475744
2014,Buick,Regal,2g4gn5ex7e9244112
2009,Chevrolet,Impala,2g1wt57kx91210041
2012,Chevrolet,Impala,2g1wg5e34c1335947
2005,Ford,Five Hundred,1fafp25165g204339
2012,Mercedes-Benz,E-Class,wddkj8jb0cf157586
2013,Chevrolet,Cruze,1g1pe5sb3d7172010
2012,Ford,Fusion,3fahp0ha3cr162968
2001,Ford,F-250 Super Duty,3ftnw21f41ma61479
2013,Infiniti,G Sedan,jn1cv6apxdm713003
2012,Ford,Explorer,1fmhk8f80cga07868
2011,Infiniti,G Coupe,jn1cv6ek2bm214899
2014,Chrysler,200,1c3ccbagxen157707
2007,Lexus,ES 350,jthbj46g772028912
2014,Chevrolet,Cruze,1g1pg5sb1e7361718
2008,BMW,X5,5uxfe43588l027210
2006,Ford,Ranger,1ftyr10u36pa02388
2007,Chevrolet,Avalanche,3gnec12047g322282
2012,Lexus,RX 350,2t2zk1ba9cc071152
2008,BMW,3 Series,wbawl13558px20439
2004,Ford,Taurus,1fafp53ux4a174407
2007,Chevrolet,Impala,2g1wd58c279267465
2011,Ford,Fusion,3fahp0jaxbr312180
2014,BMW,5 Series,wbaxa5c56ed001649
2006,Toyota,Corolla,1nxbr32e86z596741
2008,Jeep,Liberty,1j8gn28k78w209917
2012,Ford,F-350 Super Duty,1ft8w3dtxcea49687
2008,Chevrolet,Silverado 1500,2gcec19j281310486
2007,Audi,S6,waugn74f47n052751
2005,Ford,F-150,1ftrf14w95ke33998
2013,Ford,Focus,1fadp3f22dl343426
2013,Chrysler,Town and Country,2c4rc1bg0dr657794
2010,Lexus,ES 350,jthbk1eg2a2381627
2015,Volvo,V60,yv126meb3f1208038
2011,Chrysler,300,2c3ca5cg5bh536137
2011,BMW,X5,5uxzv8c5xbl417480
2013,Ford,Focus,1fadp3f25dl335840
2007,Dodge,Nitro,1d8gu58k37w578592
2013,Chevrolet,Volt,1g1ra6e40du127275
2007,Saturn,ION,1g8al55f47z176605
2001,Cadillac,Seville,1g6ks54y71u294669
2011,Nissan,Maxima,1n4aa5ap7bc860026
2013,Ford,Focus,1fadp3k27dl152946
2012,Ford,Taurus,1fahp2ew5cg124533
2014,Dodge,Grand Caravan,2c4rdgcg6er178876
2000,oldsmobile,alero,1g3nl52exyc418370
2011,Mazda,Mazda2,jm1de1hy5b0104005
2009,Chevrolet,HHR,3gnca23b29s510446
2008,Ford,F-150,1ftrw14508fa26804
2012,Honda,Accord,1hgcp2f8xca030544
2011,Ford,Fusion,3fahp0ha6br191508
2012,Chevrolet,Malibu,1g1za5e02cf250005
2010,Nissan,Sentra,3n1ab6ap3al605182
2008,Land Rover,Range Rover Sport,salsk25428a164181
2013,FIAT,500,3c3cffarxdt747761
2012,Honda,Civic,19xfb2f86ce346644
2002,Ford,Escape,1fmyu03152ka46888
2012,Nissan,Maxima,1n4aa5ap8cc814819
2012,MINI,Cooper,wmwsu3c53ct260107
2008,Ford,Edge,2fmdk46c98ba15476
2014,Toyota,Camry,4t1bf1fk6eu427037
2012,Mercedes-Benz,C-Class,wddgf8bb9cr229888
2014,Ford,Escape,1fmcu0gx7eub81341
2014,Chevrolet,Sonic,1g1je6sb0e4230704
2012,MINI,Cooper,wmwsu3c52ct185836
2011,Infiniti,FX,jn8as1mw0bm733569
2012,Mercedes-Benz,M-Class,4jgda5hb0ca030188
2008,Ford,Edge,2fmdk36c28bb48994
2013,Volkswagen,Golf,wvwdb7aj8dw127321
2005,Infiniti,G35,jnkcv54e45m419372
2013,Lincoln,MKX,2lmdj8jk2dbl21202
2014,Kia,Sedona,kndmg4c77e6581305
2012,BMW,X5,5uxzv4c53cl990859
2013,Dodge,Charger,2c3cdxct4dh616872
2015,Nissan,Altima,1n4al3ap4fn313644
2006,Dodge,Ram Pickup 1500,1d7ha18n36s525515
2012,Nissan,Altima,1n4al2ap7cn535195
2013,Ford,Focus,1fadp3f26dl126803
2011,Nissan,Maxima,1n4aa5ap4bc810006
2004,Ford,Mustang,1fafp45x04f190233
2013,Dodge,Avenger,1c3cdzab1dn582337
2012,Ford,Explorer,1fmhk7d83cga39078
2012,Hyundai,Elantra,kmhdh4ae1cu357725
2014,Chrysler,Town and Country,2c4rc1bg0er400491
2014,Ford,Fusion,1fa6p0h76e5389606
2015,Honda,Civic,2hgfb2f53fh502980
2006,Mercedes-Benz,E-Class,wdbuf56j86a910770
2011,Nissan,Rogue,jn8as5mv3bw310942
2008,Chrysler,PT Cruiser,3a8fy48bx8t224996
2012,Acura,MDX,2hnyd2h24ch509558
2004,Kia,Spectra,knafe121945058072
2005,Pontiac,G6,1g2zh548554119566
2015,Mazda,CX-5,jm3ke4cy5f0436118
2008,Nissan,350Z,jn1bz34d78m701476
2006,BMW,3 Series,wbavb33506ps15433
2012,Chevrolet,Equinox,2gnalbek3c1307034
2012,Infiniti,G Sedan,jn1cv6ap7cm621135
2005,Volvo,XC90,yv1cz911651188968
2012,Infiniti,QX,jn8az2ne0c9022238
2006,Toyota,Camry,jtdbe32k363061893
2002,Cadillac,DeVille,1g6kd54y92u190440
2011,Lexus,ES 350,jthbk1eg3b2426219
1997,Toyota,Camry,4t1bg22k9vu086144
2012,Honda,Pilot,5fnyf3h6xcb004428
2014,Ford,Taurus,1fahp2f80eg183184
2013,Infiniti,G Sedan,jn1cv6ar2dm750144
2009,Dodge,Journey,3d4gg57v59t237899
2011,Buick,Enclave,5gakvbed5bj270860
2005,Chrysler,300,2c3aa63h65h635589
2011,Infiniti,QX56,jn8az2nc4b9301608
2014,Ford,Fiesta,3fadp4ej3em114686
2011,Nissan,Rogue,jn8as5mv4bw306771
2005,Dodge,Grand Caravan,2d4gp44l45r557032
2008,Subaru,Outback,4s4bp60c387323619
2011,Nissan,Rogue,jn8as5mvxbw307732
2008,Toyota,RAV4,jtmzk31v185016171
2012,Nissan,Rogue,jn8as5mv1cw355086
2013,Chevrolet,Equinox,2gnaldek0d6220482
2001,Honda,Odyssey,2hkrl18641h580760
2010,Hyundai,Genesis,kmhgc4dexau074602
2012,Nissan,Leaf,jn1az0cp4ct026013
2012,Ford,Fusion,3fahp0jg4cr429131
2008,Scion,tC,jtkde167980228693
2014,Ford,Fusion,3fa6p0g78er269143
2012,Nissan,Sentra,3n1ab6ap8cl637158
2013,Hyundai,Accent,kmhct4ae3du537154
2013,Cadillac,XTS,2g61s5s30d9199312
