year,make,model,vin
2013,Hyundai,Elantra,5npdh4ae4dh390329
2014,Ford,E-Series Wagon,1fbne3bl3eda97845
2009,Kia,Optima,knage228395301423
2013,Ford,Fusion,3fa6p0h75dr150172
2013,Nissan,Altima,1n4bl3apxdc180868
2014,Chevrolet,Impala,2g1115sl7e9246622
2012,Chevrolet,Equinox,2gnflcek7c6232739
2012,Nissan,Sentra,3n1ab6ap7cl697111
2003,Chevrolet,Avalanche,3gnek13t93g162664
2014,Kia,Sportage,kndpb3ac3e7548964
2001,Saturn,S-Series,1g8zf52861z329489
2006,Infiniti,FX35,jnras08u06x104848
2013,Hyundai,Accent,kmhct4ae1du273741
2007,Toyota,Camry,4t1bk46k27u053512
2011,Toyota,RAV4,2t3bf4dv4bw161504
2011,BMW,3 Series,wbapk7c50bf087646
2013,Hyundai,Elantra,5npdh4ae8dh318274
2012,Toyota,Prius,jtdkn3du6c5474437
2014,Ford,Explorer,1fm5k8gt9egc51351
2012,Hyundai,Veloster,kmhtc6ad3cu065197
2012,Ford,Explorer,1fmhk8f85cga77964
2001,Toyota,4Runner,jt3hn86r610349422
2012,Chevrolet,Sonic,1g1jc5sh6c4228523
2006,Chevrolet,TrailBlazer,1gndt13s462239616
2014,Dodge,Grand Caravan,2c4rdgcg4er181727
2013,Ford,Focus,1fadp3e26dl169054
2011,Chevrolet,Suburban,1gnskke33br199553
2005,BMW,X5,5uxfb53525lv17295
2009,Audi,S5,waurv78t59a042006
2006,Ford,Escape,1fmyu02z66kc86836
2004,Honda,Accord,1hgcm56414a081505
2013,Volkswagen,GTI,wvwhd7aj4dw141132
2012,Nissan,Altima,1n4al2ep3cc155065
2007,Audi,A4,waudf78e37a225281
2014,Hyundai,Elantra,5npdh4aexeh507316
2014,Ford,Mustang,1zvbp8am6e5216236
2013,Mitsubishi,Lancer,ja32v2fw4du010271
2006,Cadillac,DTS,1g6kd57y06u114543
2014,Kia,Sorento,5xyktca65eg440401
2012,Ford,Fusion,3fahp0ja5cr355990
2014,Chevrolet,Impala Limited,2g1wb5e33e1156316
2013,BMW,5 Series,wbaxh5c50ddw14957
2012,GMC,Acadia,1gkkvted5cj326760
2014,Lincoln,MKZ,3ln6l2lu6er804477
2007,BMW,X5,5uxfe83567lz43129
2013,Volkswagen,Beetle,3vwfp7at0dm654956
1996,Toyota,Corolla,1nxbb02e8tz459930
2012,Hyundai,Sonata,5npec4ac5ch360322
2005,Nissan,Murano,jn8az08w75w417966
2007,Pontiac,G6,1g2zh361074274078
2013,Ford,Focus,1fadp3k26dl278280
2012,Chrysler,300,2c3ccaet0ch308917
2014,Volkswagen,Passat,1vwat7a35ec104628
2011,Toyota,Prius,jtdkn3du8b1418053
2008,Kia,Rondo,knafg526787130474
2007,Chevrolet,Equinox,2cndl63f876075313
2010,Jeep,Commander,1j4rg5gt2ac129013
2002,Ford,Explorer Sport Trac,1fmzu67e82ud17175
2014,BMW,3 Series,wba3b5g59ens11193
2000,chevrolet,camaro,2g1fp22k2y2163395
2011,Ram,1500,1d7rv1cp8bs515834
2004,Mazda,Mazda3,jm1bk323441127958
2008,Pontiac,G6,1g2zh57n584220337
2005,Infiniti,QX56,5n3aa08c15n811688
2006,Dodge,Charger,2b3ka43g36h301700
2014,Mazda,CX-9,jm3tb3dv7e0438754
2014,Ford,F-150,1ftnf1cf4ekd84841
2008,Ford,Edge,2fmdk48c58ba44888
2002,Jeep,Liberty,1j4gl58kx2w255189
2014,Mitsubishi,Lancer,ja32u2fu1eu012109
2006,Ford,Ranger,1ftzr45e36pa14189
2014,Ford,Mustang,1zvbp8em5e5289172
2013,FIAT,500,3c3cffjh8dt739133
2013,Nissan,Altima,1n4al3ap7dc264223
2014,Ford,Fusion,3fa6p0k99er258841
2012,Toyota,Yaris,jtdktud3xcd527861
2012,Nissan,Maxima,1n4aa5ap2cc819966
2014,Ford,Fusion,3fa6p0h73er262034
2014,Chevrolet,Express Cargo,1gcwggfa0e1138346
2007,Chevrolet,TrailBlazer,1gndt13s472114634
2009,Ford,F-350 Super Duty,1ftww31r49ea67689
2003,Toyota,Camry,4t1bf32k03u552212
2014,Kia,Optima,5xxgm4a76eg327207
2014,Chrysler,200,1c3ccbbg3en237106
2012,Honda,Accord,1hgcp2f84ca218458
2013,Ford,Explorer,1fm5k7d87dgb19178
2011,Honda,Pilot,5fnyf3h50bb038464
2003,Ford,Explorer,1fmzu73k83uc63458
2012,BMW,7 Series,wbaka4c50cds99374
2014,Chevrolet,Captiva Sport,3gnal3ek1es615588
2011,Nissan,Murano,jn8az1mwxbw187069
2001,Mazda,Tribute,4f2yu08191km31513
2012,Nissan,Altima,1n4al2ap5cn561830
2014,Toyota,Tacoma,3tmlu4en0em150031
2007,Ford,F-250 Super Duty,1ftnf21537eb11486
2012,Toyota,Camry,4t1bf1fk6cu151164
2012,Lexus,IS 250,jthbf5c21c5168771
2013,Mazda,Mazda5,jm1cw2bl6d0148299
2014,Kia,Rio,knadm4a3xe6406035
2005,Jeep,Wrangler,1j4fa39s45p317527
2012,Ford,Edge,2fmdk3jc4cba61565
2014,Dodge,Durango,1c4sdjct7ec307602
2009,Chevrolet,Silverado 1500,1gcec14x39z187012
2011,Hyundai,Tucson,km8ju3ac1bu194077
2003,Honda,Pilot,2hkyf18613h600274
2014,Chevrolet,Tahoe,1gnscbe02er202577
2014,Toyota,Camry,4t1bf1fk3eu397446
2008,Dodge,Dakota,1d7hw48n58s581722
2011,Toyota,Tacoma,5tftx4gn4bx004516
1996,Mercedes-Benz,C-Class,wdbha22e1tf380454
2013,Ford,Transit Connect,nm0ls6bn9dt161676
2011,Dodge,Caliber,1b3cb3ha3bd113959
2015,Chevrolet,Impala,2g1165s39f9109202
2013,Ram,1500,1c6rr7kt5ds527479
2012,Ford,Fusion,3fahp0ha8cr307194
2007,Cadillac,SRX,1gyee637470184821
2013,Toyota,Corolla,2t1bu4ee4dc988887
2012,Kia,Optima,5xxgr4a67cg049018
2012,Lexus,ES 350,jthbk1eg6c2487338
2009,Ford,F-150,1ftpw14v19fa40199
2013,BMW,7 Series,wbaye8c51dde22237
2012,Mazda,Mazda3,jm1bl1uf7c1519291
2014,Hyundai,Santa Fe,km8sm4hf7eu036521
2008,Hyundai,Azera,kmhfc46f58a273201
2007,Ford,Explorer,1fmeu74e67ub78728
2012,BMW,3 Series,wba3a5c56cf341836
1996,Toyota,Corolla,1nxba02e9tz389387
2009,Land Rover,Range Rover Sport,salsf25439a196417
2012,Ford,F-150,1ftfw1ef9cfc22176
2004,Jeep,Wrangler,1j4fa29144p798251
2012,Toyota,Camry,4t1bf1fkxcu061516
2010,Toyota,Corolla,2t1bu4ee6ac508649
2014,Kia,Soul,kndjp3a52e7071842
2013,GMC,Terrain,2gkflze39d6253778
2012,Kia,Soul,kndjt2a54c7473588
2012,Chevrolet,Malibu,1g1zg5e70cf306812
2008,Chevrolet,Silverado 1500,3gcek13m18g104492
2013,Hyundai,Sonata,5npec4acxdh607609
2012,Kia,Optima,5xxgr4a68cg065860
2010,Dodge,Grand Caravan,2d4rn5d12ar444323
2013,Chrysler,200,1c3ccbbb5dn574900
2012,Nissan,Altima,1n4al2apxcn431994
2007,Nissan,Maxima,1n4ba41e77c861293
2014,Ford,Explorer,1fm5k8f85egc59380
2005,Hyundai,Tucson,km8jn12d25u081140
2013,Ford,Fusion,3fa6p0h74dr200236
2008,Pontiac,Grand Prix,2g2wp552581128042
2008,BMW,X5,5uxfe43508l035768
2012,BMW,3 Series,wba3c1c54cf430792
2013,Toyota,Corolla,5yfbu4eexdp148130
2013,Nissan,Maxima,1n4aa5ap6dc831894
2007,Buick,LaCrosse,2g4wc582071206465
2010,Dodge,Avenger,1b3cc4fb5an229056
2014,Kia,Soul,kndjp3a51e7060945
2014,Ford,Taurus,1fahp2f8xeg176422
2012,Ford,Focus,1fahp3m2xcl284158
2014,Ford,E-Series Van,1ftne2ew3eda19187
2011,Volvo,C30,yv1672mkxb2193661
2007,Chrysler,Pacifica,2a8gf68x77r363065
2012,Ford,Fusion,3fahp0ga6cr359201
2014,Ford,Explorer,1fm5k7d86ega27772
2011,Audi,A3,waubeafm8ba030819
2012,Hyundai,Genesis,kmhgc4dd9cu180890
2015,BMW,X3,5uxwx9c53f0d47334
2007,Volvo,XC90,yv4cz982671341112
2012,Ford,Focus,1fahp3e23cl429393
2007,Chevrolet,Malibu,1g1zs58f37f112220
2012,Kia,Forte,knafu4a28c5606821
2011,Chevrolet,Malibu,1g1za5eu2bf309247
2002,Lexus,RX 300,jtjhf10u720257991
2014,Mazda,Mazda6,jm1gj1v64e1129701
2005,Toyota,Camry,4t1be32k55u536254
2011,Nissan,Versa,3n1bc1ap4bl422430
2009,Dodge,Challenger,2b3lj54t49h594694
2013,Ford,Focus,1fadp3k2xdl273275
2013,Nissan,Altima,1n4al3ap8dc184980
2003,Mazda,Mazda6,1yvhp80c435m15749
2013,Honda,Pilot,5fnyf4h95db017797
2007,Cadillac,Escalade,1gyfk63897r328798
2015,Kia,Sorento,5xyktca67fg586865
2013,Kia,Optima,5xxgn4a71dg140002
2013,Toyota,Camry Hybrid,4t1bd1fk1du066983
2007,Jeep,Patriot,1j8ff48wx7d303534
2011,Chevrolet,Cruze,1g1pg5s9xb7238119
2007,Ford,Mustang,1zvht80n975319783
2013,Chevrolet,Cruze,1g1pc5sbxd7271767
2005,Chevrolet,Equinox,2cndl63f356160735
2012,Infiniti,G Sedan,jn1cv6ar3cm677168
2014,Chrysler,300,2c3ccaag4eh252718
2013,Ford,C-Max Energi,1fadp5cu1dl532280
2010,Ford,F-350 Super Duty,1ftww3br5aea11053
2014,Mercedes-Benz,C-Class,wddgf4hb5eg254513
2006,Chevrolet,Uplander,1gndx33l16d157419
2008,Volkswagen,Passat,wvwjk73cx8p005612
2005,Lexus,ES 330,jthba30g455078035
2012,Mercedes-Benz,C-Class,wddgf4hb9cr221032
2014,dodge,gr,2c4rdgdg8er307845
2003,Ford,Expedition,1fmpu16wx3la14443
2001,Honda,Accord,1hgcg32501a018546
2013,Audi,A7,wauygafc9dn030626
2007,Toyota,Highlander,jtedp21a170134375
2012,Audi,Q7,wa1lgafe9cd010390
2013,Ford,Escape,1fmcu9gx6duc69638
2012,Nissan,Altima,1n4al2ap2cn546685
2012,Kia,Optima,5xxgn4a79cg031463
2014,Kia,Optima,5xxgm4a71eg348322
2005,Toyota,Camry Solara,4t1fa38p65u058877
2012,Lexus,RX 450h,jtjbc1ba3c2435483
2012,Infiniti,M,jn1by1arxcm392585
2000,Nissan,Altima,1n4dl01d7yc193614
2013,Honda,Civic,19xfb2f54de001961
2014,Volkswagen,Jetta Hybrid,3vw637aj2em215141
2012,Hyundai,Sonata,5npeb4ac2ch498788
2013,Ford,Fiesta,3fadp4bj7dm173839
2013,Mazda,Mazda5,jm1cw2cl3d0150607
2012,Hyundai,Sonata,5npeb4ac4ch418231
2008,Dodge,Avenger,1b3lc56k58n687793
2013,Ford,Edge,2fmdk3jc0dbb68517
2013,Chrysler,200,1c3ccbab0dn698235
2007,Chevrolet,Impala,2g1wc58rx79228856
2013,Hyundai,Sonata,5npeb4ac1dh736938
2012,Mazda,CX-9,jm3tb3da0c0356827
2012,BMW,6 Series,wbalw7c58cc618453
2013,Chevrolet,Equinox,2gnflcek6d6204495
2013,Chevrolet,Silverado 2500HD,1gc1kyc89df152229
2006,Mitsubishi,Eclipse,4a3ak24fx6e037798
2012,Toyota,Highlander,5tdzk3eh2cs054905
2014,Volkswagen,Jetta,3vwd17aj8em396386
2012,Audi,Q5,wa1lfafp8ca105562
2014,Hyundai,Sonata,5npeb4ac1eh896951
2001,Ford,Econoline Wagon,1fmre11l71ha98322
2014,Nissan,Murano,jn8az1mu4ew405641
2002,Nissan,Quest,4n2zn16t82d817550
2015,Chevrolet,Tahoe,1gnskbkc6fr181106
1999,Volvo,V70,yv1lw56d2x2570755
2008,Chevrolet,Malibu,1g1zk57738f219439
2013,Chevrolet,Impala,2g1wf5e39d1235198
2005,Toyota,Sienna,5tdza23c45s372869
2014,Dodge,Journey,3c4pdcbg2et243978
2012,Infiniti,G Sedan,jn1dv6ar5cm862648
2013,Infiniti,QX,jn8az2ne2d9041889
2011,Mercedes-Benz,CL-Class,wddej7eb3ba027282
2011,Infiniti,G Sedan,jn1dv6ap8bm602600
2011,Hyundai,Genesis Coupe,kmhht6kd2bu056705
2014,Kia,Sorento,5xykt4a69eg537056
2012,Nissan,Altima,1n4al2ap2cc236533
2003,Porsche,Boxster,wp0ca29853u623867
2001,Chrysler,Town and Country,2c4gp44351r275893
2014,Chrysler,200,1c3ccbab5en204517
2014,Jeep,Grand Cherokee,1c4rjebtxec475055
2003,Acura,MDX,2hnyd18623h544614
2013,Lincoln,MKX,2lmdj8jk9dbl16403
2013,Chevrolet,Equinox,2gnalbek6d6133867
2012,Honda,Accord,1hgcp2f89ca130540
2013,Hyundai,Sonata,5npeb4ac2dh749648
2011,BMW,3 Series,wbapk5g54bnn80413
2004,Ford,Taurus,1fafp53u34g131878
2012,Jaguar,XJ,sajwa2ge1cmv22297
2014,Cadillac,SRX,3gyfnee36es645967
2014,GMC,Savana Cargo,1gtw7fca8e1905844
2014,Ford,E-Series Van,1ftne2ew1eda20175
2005,chrysler,pacifica,2c4gm68485r387293
2008,Nissan,Titan,1n6ba06f38n335573
2014,Ford,E-Series Van,1ftne2ew9eda66501
2007,Toyota,RAV4,jtmbd33v775084028
2006,Toyota,Corolla,1nxbr32e96z724484
2014,Chrysler,300,2c3ccabg8eh375209
2014,Volkswagen,Passat,1vwat7a34ec029906
2003,BMW,7 Series,wbagn63423dr17579
2011,Infiniti,G Sedan,jn1cv6ar1bm412019
2012,BMW,3 Series,wbakg7c55ce803136
2009,Ford,F-150,1ftpx14v59kc17051
2007,Cadillac,Escalade EXT,3gyfk628x7g254308
2014,Dodge,Avenger,1c3cdzab1en218663
2011,Chrysler,Town and Country,2a4rr8dg5br666471
